SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Первомайский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";323
"Первомайский район";"Лицо";"Высшее профессиональное (высшее)";1425
"Первомайский район";"Лицо";"Послевузовское профессиональное";8
"Первомайский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";137
"Первомайский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";296
"Перевозский район";"Лицо";"Не указавшие образование";1670
"Перевозский район";"Лицо";"Начальное общее (начальное)";3315
"Перевозский район";"Лицо";"Основное общее (неполное среднее)";3665
"Перевозский район";"Лицо";"Среднее (полное) общее";3135
"Перевозский район";"Лицо";"Среднее профессиональное (среднее специальное)";4363
"Перевозский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";165
"Перевозский район";"Лицо";"Высшее профессиональное (высшее)";1366
"Перевозский район";"Лицо";"Послевузовское профессиональное";11
"Перевозский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";114
"Перевозский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";94
"Пильнинский район";"Лицо";"Не указавшие образование";2222
"Пильнинский район";"Лицо";"Начальное общее (начальное)";6347
"Пильнинский район";"Лицо";"Основное общее (неполное среднее)";6032
"Пильнинский район";"Лицо";"Среднее (полное) общее";4862
"Пильнинский район";"Лицо";"Среднее профессиональное (среднее специальное)";3498
"Пильнинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";244
"Пильнинский район";"Лицо";"Высшее профессиональное (высшее)";1216
"Пильнинский район";"Лицо";"Послевузовское профессиональное";0
"Пильнинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";401
"Пильнинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";435
"Починковский район";"Лицо";"Не указавшие образование";2894
"Починковский район";"Лицо";"Начальное общее (начальное)";8065
"Починковский район";"Лицо";"Основное общее (неполное среднее)";5869
"Починковский район";"Лицо";"Среднее (полное) общее";6986
"Починковский район";"Лицо";"Среднее профессиональное (среднее специальное)";6248
"Починковский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";292
"Починковский район";"Лицо";"Высшее профессиональное (высшее)";2107
"Починковский район";"Лицо";"Послевузовское профессиональное";29
"Починковский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";499
"Починковский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";694
"Семеновский район";"Лицо";"Не указавшие образование";4172
"Семеновский район";"Лицо";"Начальное общее (начальное)";10188
"Семеновский район";"Лицо";"Основное общее (неполное среднее)";10692
"Семеновский район";"Лицо";"Среднее (полное) общее";9240
"Семеновский район";"Лицо";"Среднее профессиональное (среднее специальное)";11151
"Семеновский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";534
"Семеновский район";"Лицо";"Высшее профессиональное (высшее)";3146
"Семеновский район";"Лицо";"Послевузовское профессиональное";41
"Семеновский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";402
"Семеновский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";429
"Сергачский район";"Лицо";"Не указавшие образование";3150
"Сергачский район";"Лицо";"Начальное общее (начальное)";7281
"Сергачский район";"Лицо";"Основное общее (неполное среднее)";7305
"Сергачский район";"Лицо";"Среднее (полное) общее";8116
