SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Начальное общее (начальное)";4248
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Основное общее (неполное среднее)";6406
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Среднее (полное) общее";8654
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Среднее профессиональное (среднее специальное)";7040
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";381
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Высшее профессиональное (высшее)";2414
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Послевузовское профессиональное";33
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";60
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";67
"г. Сортавала";"Лицо";"Не указавшие образование";3198
"г. Сортавала";"Лицо";"Начальное общее (начальное)";4435
"г. Сортавала";"Лицо";"Основное общее (неполное среднее)";6361
"г. Сортавала";"Лицо";"Среднее (полное) общее";6754
"г. Сортавала";"Лицо";"Среднее профессиональное (среднее специальное)";9604
"г. Сортавала";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";463
"г. Сортавала";"Лицо";"Высшее профессиональное (высшее)";3124
"г. Сортавала";"Лицо";"Послевузовское профессиональное";25
"г. Сортавала";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";130
"г. Сортавала";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";89
"Всего";"Лицо";"Не указавшие образование";67233
"Всего";"Лицо";"Начальное общее (начальное)";92812
"Всего";"Лицо";"Основное общее (неполное среднее)";124170
"Всего";"Лицо";"Среднее (полное) общее";152620
"Всего";"Лицо";"Среднее профессиональное (среднее специальное)";164657
"Всего";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";13239
"Всего";"Лицо";"Высшее профессиональное (высшее)";80699
"Всего";"Лицо";"Послевузовское профессиональное";1274
"Всего";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";2666
"Всего";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";1937


"INFO";"Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
